Proxy,Response Time (ms)
3.90.100.12:80,4748.76
3.97.167.115:3128,5250.05
3.97.176.251:3128,6379.84
15.156.24.206:3128,8780.0
44.219.175.186:80,4911.6
44.195.247.145:80,4353.32
15.207.54.63:20201,6109.57
52.73.224.54:3128,4812.59
66.201.7.151:3128,851.4
119.156.195.173:3128,2379.86
15.223.105.115:3128,8712.97
3.96.92.88:3128,8231.36
13.59.242.56:50000,6359.04
52.194.186.70:1080,5559.32
40.76.69.94:8080,2211.09
3.212.148.199:3128,3337.07
15.207.35.241:80,2509.58
65.1.244.232:80,2457.44
13.234.24.116:1080,2321.15
15.206.25.41:1080,2859.94
147.75.92.251:9443,2592.65
52.237.96.236:8080,4560.71
81.162.242.127:8021,4961.05
13.126.79.133:3128,1521.08
3.108.115.48:3128,2219.48
89.249.62.8:3128,1540.46
